,Location,Restaurant Name,Rating,Number of Ratings,Cuisine
0,Hyderabad,1. Deccan Pavilion,5.0 of 5 bubbles,953 reviews,"Indian, Asian"
1,Hyderabad,2. Dum Pukht Begum's,5.0 of 5 bubbles,478 reviews,Indian
2,Hyderabad,3. Yi Jing,5.0 of 5 bubbles,416 reviews,"Chinese, Asian"
3,Hyderabad,4. Ottimo Cucina Italiana,5.0 of 5 bubbles,384 reviews,"Italian, Pizza"
4,Hyderabad,5. Golconda Pavilion,5.0 of 5 bubbles,681 reviews,"Chinese, American"
5,Hyderabad,6. Bidri,5.0 of 5 bubbles,302 reviews,Indian
6,Hyderabad,7. Feast,5.0 of 5 bubbles,316 reviews,"Indian, Contemporary"
7,Hyderabad,8. Altitude - Lounge & Bar,5.0 of 5 bubbles,249 reviews,"Italian, Indian"
8,Hyderabad,9. Kanak,5.0 of 5 bubbles,177 reviews,Indian
9,Hyderabad,10. Zega,5.0 of 5 bubbles,479 reviews,"Chinese, Japanese"
10,Hyderabad,11. Indus - Coffee Shop & Multi-Cuisine Restaurant,5.0 of 5 bubbles,141 reviews,"Chinese, Contemporary"
11,Hyderabad,12. Okra,5.0 of 5 bubbles,752 reviews,"Indian, Asian"
12,Hyderabad,13. Saffron Soul,5.0 of 5 bubbles,162 reviews,Indian
13,Hyderabad,14. Kebabs & Kurries,5.0 of 5 bubbles,996 reviews,Indian
14,Hyderabad,15. MoMo Cafe,5.0 of 5 bubbles,731 reviews,"Bar, Cafe"
15,Hyderabad,16. Dakshin,5.0 of 5 bubbles,886 reviews,Indian
16,Hyderabad,17. Prego,4.5 of 5 bubbles,347 reviews,"Italian, Pizza"
17,Hyderabad,18. Jewel of Nizam – The Minar,4.5 of 5 bubbles,503 reviews,"Indian, Asian"
18,Hyderabad,19. Seasonal Tastes,4.5 of 5 bubbles,317 reviews,"Indian, Asian"
19,Hyderabad,20. Amara,4.5 of 5 bubbles,167 reviews,"Indian, Asian"
20,Hyderabad,21. Mekong,4.5 of 5 bubbles,199 reviews,"Sushi, Thai"
21,Hyderabad,22. Plaza Premium International Departure Lounge,4.5 of 5 bubbles,328 reviews,"Indian, Bar"
22,Hyderabad,23. Mazzo,5.0 of 5 bubbles,82 reviews,"Italian, Indian"
23,Hyderabad,24. Food Exchange,4.5 of 5 bubbles,226 reviews,"Indian, International"
24,Hyderabad,25. Absolute Barbecue,4.5 of 5 bubbles,720 reviews,"Indian, Barbecue"
25,Hyderabad,26. Mix,4.5 of 5 bubbles,147 reviews,"Indian, Bar"
26,Hyderabad,27. Barbeque Nation,4.5 of 5 bubbles,859 reviews,"Indian, Barbecue"
27,Hyderabad,28. Bawarchi,4.5 of 5 bubbles,920 reviews,"Indian, Asian"
28,Hyderabad,29. Thai Pavillion at Hotel Vivanta by Taj,4.5 of 5 bubbles,157 reviews,"Asian, Thai"
29,Hyderabad,30. Jewel Of Nizam,4.5 of 5 bubbles,252 reviews,Indian
30,Patna,1. Bansi Vihar,4.0 of 5 bubbles,165 reviews,"Indian, Asian"
31,Patna,2. Biryani Mahal,4.0 of 5 bubbles,173 reviews,"Indian, Asian"
32,Patna,3. Dominos,4.0 of 5 bubbles,99 reviews,"Pizza, Fast food"
33,Patna,4. Mainland China,4.5 of 5 bubbles,119 reviews,"Chinese, Asian"
34,Patna,5. 17 Degrees,4.0 of 5 bubbles,118 reviews,"Asian, Indian"
35,Patna,6. Kapil Dev's Elevens,4.0 of 5 bubbles,69 reviews,"Indian, Asian"
36,Patna,7. Cookbook Cafe,4.5 of 5 bubbles,44 reviews,"Chinese, Cafe"
37,Patna,8. Indian Summer Cafe,4.0 of 5 bubbles,53 reviews,"Indian, Cafe"
38,Patna,9. takshila,4.0 of 5 bubbles,45 reviews,"Indian, Asian"
39,Patna,10. Raj Rasoi,4.0 of 5 bubbles,61 reviews,"Indian, Asian"
40,Patna,11. Basant Vihar,4.0 of 5 bubbles,53 reviews,"Indian, Asian"
41,Patna,12. KFC,4.0 of 5 bubbles,69 reviews,"Quick Bites, American"
42,Patna,13. Pind Balluchi,3.5 of 5 bubbles,234 reviews,"Indian, Asian"
43,Patna,14. Yo China,4.0 of 5 bubbles,73 reviews,"Chinese, Fast food"
44,Patna,15. The Yellow Chilli,4.0 of 5 bubbles,74 reviews,"Chinese, Indian"
45,Patna,16. Forks n Pins,4.0 of 5 bubbles,27 reviews,"Indian, Chinese"
46,Patna,17. Gandhali resturant,4.5 of 5 bubbles,17 reviews,"Indian, Asian"
47,Patna,18. Citrus Cafe,4.5 of 5 bubbles,15 reviews,"Indian, Asian"
48,Patna,19. Bollywood Treats,4.0 of 5 bubbles,39 reviews,"Indian, Mexican"
49,Patna,20. Thanco Natural Icecream,4.5 of 5 bubbles,20 reviews,Dessert
50,Patna,21. Lakhu Da Dhaba,4.0 of 5 bubbles,34 reviews,"Chinese, Indian"
51,Patna,22. Pizza Hut,4.0 of 5 bubbles,27 reviews,"Pizza, Fast food"
52,Patna,23. CROWN CASTLE FINE DINE RESTAURANT,4.0 of 5 bubbles,33 reviews,"Chinese, Indian"
53,Patna,24. Bawarchi,4.0 of 5 bubbles,16 reviews,Indian
54,Patna,25. Domino's Pizza,4.0 of 5 bubbles,33 reviews,Pizza
55,Patna,26. Chatkara Food Court,4.0 of 5 bubbles,18 reviews,"Indian, Fast food"
56,Patna,27. angeethi,4.0 of 5 bubbles,36 reviews,"Indian, Chinese"
57,Patna,28. Pukhtaan - The Royal Taste of India,4.0 of 5 bubbles,44 reviews,"Indian, Barbecue"
58,Patna,29. Barbeque Nation,4.0 of 5 bubbles,22 reviews,"Chinese, Indian"
59,Patna,30. Dominos,4.0 of 5 bubbles,17 reviews,"Pizza, Italian"
60,Mumbai,1. Delhi Highway,5.0 of 5 bubbles,93 reviews,"Indian, Fast food"
61,Mumbai,2. Delhi Highway,5.0 of 5 bubbles,83 reviews,"Indian, Street Food"
62,Mumbai,3. Tanatan,5.0 of 5 bubbles,86 reviews,Indian
63,Mumbai,4. Peshwa Pavilion,5.0 of 5 bubbles,"1,049 reviews","Indian, Asian"
64,Mumbai,5. Citrus Cafe,5.0 of 5 bubbles,94 reviews,"Italian, Indian"
65,Mumbai,6. Ummrao,5.0 of 5 bubbles,134 reviews,Indian
66,Mumbai,7. Fifty Five East - Grand Hyatt Mumbai Hotel and Residences,4.5 of 5 bubbles,609 reviews,"Asian, Indian"
67,Mumbai,8. Mabruk,5.0 of 5 bubbles,212 reviews,"Lebanese, Moroccan"
68,Mumbai,9. Lake View Cafe,4.5 of 5 bubbles,"1,302 reviews","Indian, Cafe"
69,Mumbai,10. Kebabs & Kurries,4.5 of 5 bubbles,755 reviews,Indian
70,Mumbai,11. Yeda Republic,5.0 of 5 bubbles,80 reviews,"Indian, Bar"
71,Mumbai,12. East Asian Spice Trail,5.0 of 5 bubbles,251 reviews,"Chinese, Asian"
72,Mumbai,13. 180 Degrees,4.5 of 5 bubbles,286 reviews,"Indian, Asian"
73,Mumbai,14. The Earth Plate,4.5 of 5 bubbles,471 reviews,"Indian, Chinese"
74,Mumbai,15. Gallery Cafe,5.0 of 5 bubbles,88 reviews,"Indian, International"
75,Mumbai,16. Nawab Saheb,5.0 of 5 bubbles,899 reviews,Indian
76,Mumbai,17. Mostly Grills,4.5 of 5 bubbles,628 reviews,"Indian, Bar"
77,Mumbai,18. Ark Bar,5.0 of 5 bubbles,474 reviews,"Bar, Pub"
78,Mumbai,19. Manuhaar- The Taste of Tradition,5.0 of 5 bubbles,147 reviews,Indian
79,Mumbai,20. Bombay High,5.0 of 5 bubbles,155 reviews,Bar
80,Mumbai,21. Peshawri,4.5 of 5 bubbles,"1,868 reviews",Indian
81,Mumbai,22. Shanghai Club,4.5 of 5 bubbles,200 reviews,"Chinese, Asian"
82,Mumbai,23. Loco Loca,5.0 of 5 bubbles,121 reviews,₹₹ - ₹₹₹
83,Mumbai,24. JW Cafe,5.0 of 5 bubbles,"1,296 reviews","Japanese, Indian"
84,Mumbai,25. Boulevard,4.5 of 5 bubbles,500 reviews,"Indian, Asian"
85,Mumbai,26. Hornby's Pavilion,4.5 of 5 bubbles,563 reviews,"Indian, Asian"
86,Mumbai,27. Tanatan,4.5 of 5 bubbles,247 reviews,"Indian, Bar"
87,Mumbai,28. Baluchi,4.5 of 5 bubbles,420 reviews,"Diner, Indian"
88,Mumbai,29. Fleur Restaurant,4.5 of 5 bubbles,207 reviews,"Italian, Indian"
89,Mumbai,30. Romano's,5.0 of 5 bubbles,716 reviews,"Italian, Pizza"
90,Jaipur,1. The Rajput Room,5.0 of 5 bubbles,597 reviews,"Indian, Asian"
91,Jaipur,2. The Verandah,5.0 of 5 bubbles,488 reviews,"Indian, International"
92,Jaipur,3. Cinnamon,5.0 of 5 bubbles,499 reviews,Indian
93,Jaipur,4. Socorro,5.0 of 5 bubbles,392 reviews,"Italian, European"
94,Jaipur,5. Marble Arch,5.0 of 5 bubbles,434 reviews,"Indian, International"
95,Jaipur,6. Suvarna Mahal,5.0 of 5 bubbles,888 reviews,Indian
96,Jaipur,7. Hotel Sweet Dream Restaurant,5.0 of 5 bubbles,"1,973 reviews","Pizza, Indian"
97,Jaipur,8. Steam,5.0 of 5 bubbles,985 reviews,"Bar, International"
98,Jaipur,9. Mosaic,5.0 of 5 bubbles,394 reviews,"Indian, Asian"
99,Jaipur,10. House of Han,5.0 of 5 bubbles,344 reviews,"Chinese, Fast food"
100,Jaipur,11. Polo Bar,5.0 of 5 bubbles,257 reviews,"Bar, Wine Bar"
101,Jaipur,12. Govindam Retreat,5.0 of 5 bubbles,"2,437 reviews","Indian, Pizza"
102,Jaipur,13. Hawk View Restaurant & Bar,5.0 of 5 bubbles,"1,480 reviews","Indian, Asian"
103,Jaipur,14. The Royal Root,5.0 of 5 bubbles,236 reviews,Indian
104,Jaipur,15. Baluchi,5.0 of 5 bubbles,980 reviews,"Indian, Fusion"
105,Jaipur,16. 24/7 Restaurant,5.0 of 5 bubbles,"1,158 reviews","Native American, Indian"
106,Jaipur,17. Hi-LiFE The Rooftop Grill,5.0 of 5 bubbles,234 reviews,"Indian, Mexican"
107,Jaipur,18. Topaz Restaurant - FineDine & SkyDeck (Candle Light),5.0 of 5 bubbles,342 reviews,"Indian, Asian"
108,Jaipur,19. Sheesh Mahal Bar,5.0 of 5 bubbles,184 reviews,Bar
109,Jaipur,20. Peshawri,4.5 of 5 bubbles,801 reviews,Indian
110,Jaipur,21. Chao Chinese Bistro,5.0 of 5 bubbles,244 reviews,"Chinese, Asian"
111,Jaipur,22. Monarch Restaurant,5.0 of 5 bubbles,314 reviews,Indian
112,Jaipur,23. Giardino,5.0 of 5 bubbles,437 reviews,"Italian, Pizza"
113,Jaipur,24. Dagla - The Rooftop,5.0 of 5 bubbles,155 reviews,"Indian, Bar"
114,Jaipur,25. Stepout Cafe & Book Lounge,5.0 of 5 bubbles,395 reviews,"Cafe, Healthy"
115,Jaipur,26. Okra,4.5 of 5 bubbles,"1,143 reviews","Indian, Asian"
116,Jaipur,"27. Karma Kasuri at Karma Haveli, Jaipur",5.0 of 5 bubbles,142 reviews,Indian
117,Jaipur,28. The Great Kabab Factory,5.0 of 5 bubbles,599 reviews,"Indian, Asian"
118,Jaipur,29. Jaipur Pavilion,4.5 of 5 bubbles,482 reviews,"Indian, Healthy"
119,Jaipur,30. Jal Mahal,5.0 of 5 bubbles,492 reviews,"Asian, Indian"
120,Agra,1. Good Vibes Cafe,5.0 of 5 bubbles,"2,685 reviews",Indian
121,Agra,2. Taj Terrace,5.0 of 5 bubbles,656 reviews,"Asian, Indian"
122,Agra,3. The Grand Gopika Thaal by GMB,5.0 of 5 bubbles,171 reviews,"Indian, Asian"
123,Agra,4. Tea'se Me,5.0 of 5 bubbles,"1,428 reviews",Indian
124,Agra,5. The Salt Cafe Kitchen & Bar,5.0 of 5 bubbles,544 reviews,"Indian, Bar"
125,Agra,6. Dostea Cafe,5.0 of 5 bubbles,164 reviews,Indian
126,Agra,7. Yes Restaurant,5.0 of 5 bubbles,164 reviews,Indian
127,Agra,8. Bambino Cafe And Restaurant,5.0 of 5 bubbles,227 reviews,"Indian, Cafe"
128,Agra,9. Taj Bano,4.5 of 5 bubbles,636 reviews,"Indian, Asian"
129,Agra,10. D'Delicia,5.0 of 5 bubbles,281 reviews,"Italian, Mexican"
130,Agra,11. MoMo Cafe,4.5 of 5 bubbles,428 reviews,"Indian, Asian"
131,Agra,12. Login Restaurant & Roof Top Cafe,5.0 of 5 bubbles,236 reviews,₹₹ - ₹₹₹
132,Agra,13. Peshawri,4.5 of 5 bubbles,"1,421 reviews","Afghani, Indian"
133,Agra,14. Bamboo Cafe,4.5 of 5 bubbles,492 reviews,"Indian, Asian"
134,Agra,15. Joney's Place,4.5 of 5 bubbles,"1,003 reviews","Indian, Asian"
135,Agra,16. Golden Street Restaurant,4.5 of 5 bubbles,191 reviews,"Indian, Asian"
136,Agra,17. Cafe Sheroes Hangout,4.5 of 5 bubbles,397 reviews,"Italian, Chinese"
137,Agra,18. Bob Marley Cafe & Restaurant,4.5 of 5 bubbles,850 reviews,"Indian, Asian"
138,Agra,19. The Global Savour Restaurant,5.0 of 5 bubbles,450 reviews,"Italian, Chinese"
139,Agra,20. C'est Chine,4.5 of 5 bubbles,244 reviews,"Chinese, Asian"
140,Agra,21. Green Park Restaurant,4.5 of 5 bubbles,398 reviews,"Indian, Asian"
141,Agra,22. Bon Barbecue Restaurant,4.5 of 5 bubbles,855 reviews,"Chinese, Indian"
142,Agra,23. Esphahan,4.5 of 5 bubbles,317 reviews,"Indian, Asian"
143,Agra,24. Sugar n Thyme,5.0 of 5 bubbles,119 reviews,Cafe
144,Agra,25. In dish,4.5 of 5 bubbles,155 reviews,"Chinese, Indian"
145,Agra,26. Anise,5.0 of 5 bubbles,99 reviews,Indian
146,Agra,27. Daawat-e-Nawab,4.5 of 5 bubbles,202 reviews,Indian
147,Agra,28. Shankara Vegis Restaurant,4.5 of 5 bubbles,372 reviews,"Indian, Asian"
148,Agra,29. Pind Balluchi,4.5 of 5 bubbles,761 reviews,"Indian, Asian"
149,Agra,30. Cafe TC Agra,5.0 of 5 bubbles,77 reviews,"Italian, Chinese"
150,Bengaluru,1. Kebabs & Kurries,5.0 of 5 bubbles,"1,112 reviews",Indian
151,Bengaluru,2. Lotus Pavilion,5.0 of 5 bubbles,315 reviews,"Bar, Healthy"
152,Bengaluru,3. Dakshin,5.0 of 5 bubbles,592 reviews,Indian
153,Bengaluru,4. Cubbon Pavilion,5.0 of 5 bubbles,876 reviews,"Italian, Indian"
154,Bengaluru,5. Time Traveller,5.0 of 5 bubbles,"1,485 reviews","Indian, Asian"
155,Bengaluru,6. Karavalli,4.5 of 5 bubbles,"1,270 reviews","Indian, Seafood"
