,Location,Restaurant Name,Rating,Number of Ratings,Cuisine
223,Varanasi,14. Aum Cafe,4.5 of 5 bubbles,436 reviews,"Cafe, Healthy"
224,Varanasi,15. Jyoti Cafe,4.5 of 5 bubbles,221 reviews,"Indian, Cafe"
225,Varanasi,16. Kashi Chat Bhandar,4.5 of 5 bubbles,369 reviews,"Indian, Fast food"
226,Varanasi,17. Canton Royale Restaurant,4.5 of 5 bubbles,242 reviews,"Indian, Asian"
227,Varanasi,18. Shree cafe Vegatarian Restaurant,4.5 of 5 bubbles,296 reviews,"Indian, Asian"
228,Varanasi,19. Phulwari Restaurant and Sami Cafe,4.5 of 5 bubbles,171 reviews,"Indian, Cafe"
229,Varanasi,20. Ashish Cafe,4.5 of 5 bubbles,235 reviews,"Indian, Cafe"
230,Varanasi,21. Kerala Cafe,4.5 of 5 bubbles,298 reviews,"Indian, Asian"
231,Varanasi,22. Itihaas Alley Kitchen,4.5 of 5 bubbles,232 reviews,"Indian, Asian"
232,Varanasi,23. Pizzeria Vaatika Cafe,4.0 of 5 bubbles,456 reviews,"Fast food, Italian"
233,Varanasi,24. Sparrow Cafe,4.5 of 5 bubbles,129 reviews,"Indian, Middle Eastern"
234,Varanasi,25. Roma's Cafe Diner,4.5 of 5 bubbles,92 reviews,"Indian, Asian"
235,Varanasi,26. India Family Restaurant,4.5 of 5 bubbles,150 reviews,"Indian, Asian"
236,Varanasi,27. Baati Chokha,4.5 of 5 bubbles,127 reviews,"Indian, Asian"
237,Varanasi,28. Mona Lisa Cafe,4.5 of 5 bubbles,155 reviews,"Italian, Indian"
238,Varanasi,29. Nice Restaurant,5.0 of 5 bubbles,68 reviews,Indian
239,Varanasi,30. Megu Cafe,4.5 of 5 bubbles,150 reviews,"Japanese, Sushi"
240,Udaipur,Frangipani By The Lake,4.5 of 5 bubbles,6 reviews,"Indian, International"
241,Udaipur,1. Myra by Ramada Udaipur Resort & Spa,5.0 of 5 bubbles,"1,047 reviews","Italian, Chinese"
242,Udaipur,2. Restaurant Harigarh,4.5 of 5 bubbles,"2,146 reviews","Indian, Bar"
243,Udaipur,3. Raaj Bagh,4.5 of 5 bubbles,814 reviews,"Indian, Bar"
244,Udaipur,4. Aravali Lakeview by Radisson Blu Udaipur,5.0 of 5 bubbles,666 reviews,"Italian, Indian"
245,Udaipur,5. Fresh Food Cafe,5.0 of 5 bubbles,141 reviews,"Indian, Asian"
246,Udaipur,Bougainvillea Terrace by the lake,5.0 of 5 bubbles,3 reviews,"Indian, Bar"
247,Udaipur,6. SABOR World Cuisine Restaurant,5.0 of 5 bubbles,269 reviews,"Indian, Asian"
248,Udaipur,7. Cafe La Comida,5.0 of 5 bubbles,159 reviews,Cafe
249,Udaipur,8. Syah,5.0 of 5 bubbles,88 reviews,"Indian, Contemporary"
250,Udaipur,9. Kotra Haveli Roof Top Restaurant & Cafe,5.0 of 5 bubbles,169 reviews,"Indian, Asian"
251,Udaipur,10. Jaiwana Haveli Roof Top Restaurant,4.5 of 5 bubbles,"1,648 reviews","Indian, Cafe"
252,Udaipur,Madri Haveli Restaurant,4.5 of 5 bubbles,76 reviews,Indian
253,Udaipur,11. Lake Shore Restaurant,5.0 of 5 bubbles,623 reviews,"European, Indian"
254,Udaipur,12. Helloboho Lake side Restaurant,5.0 of 5 bubbles,226 reviews,"Italian, Indian"
255,Udaipur,13. White Terrace Restaurant,5.0 of 5 bubbles,511 reviews,"Indian, Asian"
256,Udaipur,14. Yummy Yoga,5.0 of 5 bubbles,912 reviews,"Italian, Indian"
257,Udaipur,15. Dining Room,4.5 of 5 bubbles,212 reviews,"Indian, Mediterranean"
258,Udaipur,16. Udai Art Cafe,4.5 of 5 bubbles,382 reviews,"Cafe, Healthy"
259,Udaipur,17. cafeRA,5.0 of 5 bubbles,193 reviews,"Indian, Cafe"
260,Udaipur,18. Savage Garden,4.5 of 5 bubbles,654 reviews,"Italian, Indian"
261,Udaipur,19. Khamma Ghani Restaurant,5.0 of 5 bubbles,"1,423 reviews","Indian, International"
262,Udaipur,20. Grasswood Cafe,4.5 of 5 bubbles,835 reviews,"Pizza, Fast food"
263,Udaipur,21. Neelam Restaurant,4.5 of 5 bubbles,398 reviews,Indian
264,Udaipur,"22. SUNSET VIEW ""A Tandoori Restaurant""",4.5 of 5 bubbles,321 reviews,"Chinese, Indian"
265,Udaipur,23. Chirag Roof Top Restaurant,4.5 of 5 bubbles,299 reviews,"Indian, Asian"
266,Udaipur,24. Paps Juice,4.5 of 5 bubbles,268 reviews,₹
267,Udaipur,25. Lotus Cafe & Restaurant,4.5 of 5 bubbles,390 reviews,"Indian, Asian"
268,Udaipur,26. Cafe Satori,4.5 of 5 bubbles,399 reviews,"Italian, Pizza"
269,Udaipur,27. tribute,4.5 of 5 bubbles,678 reviews,"International, Grill"
270,Udaipur,28. Jhumar Restaurant,4.5 of 5 bubbles,499 reviews,"Indian, Asian"
271,Udaipur,29. Charcoal by Carlsson,4.5 of 5 bubbles,621 reviews,"Indian, Barbecue"
272,Udaipur,30. Krishna Dal Bati Restro,4.5 of 5 bubbles,398 reviews,"Indian, Asian"
273,Srinagar,1. Ahdoos,4.0 of 5 bubbles,"1,096 reviews","Indian, Asian"
274,Srinagar,2. Stream Restaurant,4.5 of 5 bubbles,468 reviews,"Chinese, Indian"
275,Srinagar,3. Krishna Vaishno Dhaba,4.0 of 5 bubbles,887 reviews,"Indian, Asian"
276,Srinagar,4. Shamyana Restaurant,4.0 of 5 bubbles,549 reviews,Asian
